Job Title,Company,Location,Experience,Job Link
Business Intelligence Analyst,Dealersocket-Solera,Hybrid - Bengaluru,3-7 Yrs,https://www.naukri.com/job-listings-business-intelligence-analyst-dealersocket-solera-bengaluru-3-to-7-years-171224007200
Business Intelligence Analyst/BI Analyst,Savantys Solutions,"Hyderabad, Bengaluru",5-10 Yrs,https://www.naukri.com/job-listings-business-intelligence-analyst-bi-analyst-savantys-solutions-hyderabad-bengaluru-5-to-10-years-011122500816
BUSINESS INTELLIGENCE ANALYST II,TE Connectivity India,Bengaluru,3-5 Yrs,https://www.naukri.com/job-listings-business-intelligence-analyst-ii-te-connectivity-india-private-limited-bengaluru-3-to-5-years-161224500313
Business Intelligence Consultant,WN Infotech,"Noida, Pune, Gurugram, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-business-intelligence-consultant-wn-infotech-noida-pune-gurugram-bengaluru-0-to-5-years-271224500293
BI Developer,Capgemini,Bengaluru,4-6 Yrs,https://www.naukri.com/job-listings-bi-developer-capgemini-technology-services-india-limited-bengaluru-4-to-6-years-241224900932
Infometry Tableau Developer Data Warehousing\/Business Intelligence,Infometry,Bengaluru,0-1 Yrs,https://www.naukri.com/job-listings-infometry-tableau-developer-data-warehousing-business-intelligence-infometry-bengaluru-0-to-1-years-050822500284
Business Intelligence Analyst,Msi Services,Bengaluru,2-5 Yrs,https://www.naukri.com/job-listings-business-intelligence-analyst-msi-services-pvt-ltd-bengaluru-2-to-5-years-120423500493
Sr. BUSINESS INTELLIGENCE ANALYST,TE Connectivity India,Bengaluru,8-10 Yrs,https://www.naukri.com/job-listings-sr-business-intelligence-analyst-te-connectivity-india-private-limited-bengaluru-8-to-10-years-161224500315
Data Analyst,Novel Office,Bangalore Rural,1-2 Yrs,https://www.naukri.com/job-listings-data-analyst-novel-office-bangalore-rural-1-to-2-years-201224906227
Data Analyst,Novel Office,Bengaluru,1-2 Yrs,https://www.naukri.com/job-listings-data-analyst-novel-office-bengaluru-1-to-2-years-201224905977
Data Analyst,Namdhari Seeds,"Bidadi, Bangalore",0-1 Yrs,https://www.naukri.com/job-listings-data-analyst-namdhari-seeds-bidadi-bangalore-0-to-1-years-141224003397
